Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,108,QUORUM,7-Jan-2003,12:30 PM,Call By States,None,Passed,0,0,228,1,0,0,203,2,0,0,1,0,0,0,432,3
2
3,R,108,H RES 5,7-Jan-2003,3:53 PM,On motion to commit with instructions,Adopting Rules for the One Hundred Eighth Congress,Failed,1,225,0,2,198,0,0,6,1,0,0,0,200,225,0,8
4,R,108,H RES 5,7-Jan-2003,4:11 PM,On Agreeing to the Resolution,Adopting Rules for the One Hundred Eighth Congress,Passed,221,0,0,7,0,202,0,2,0,1,0,0,221,203,0,9
5,R,108,H RES 14,8-Jan-2003,11:44 AM,On Ordering the Previous Question,"Providing for the Consideration of S. 23, to Provide for 5-Month Extension of the Temporary Extended Unemployment Compensation Act of 2002 and for a Transition Period for Individuals Receiving Compensation when the Program under such Acts Ends",Passed,224,0,0,4,0,195,0,9,0,1,0,0,224,196,0,13
6,R,108,S 23,8-Jan-2003,1:33 PM,On motion to commit with instructions,To Provide for a 5-Month Extension of the Temporary Extended Unemployment Compensation Act of 2002 and for a Transition Period for Individuals Receiving Compensation when the Program under such Acts Ends,Failed,1,223,0,4,200,1,0,3,1,0,0,0,202,224,0,7
7,R,108,S 23,8-Jan-2003,1:41 PM,On Passage,To Provide for a 5-Month Extension of the Temporary Extended Unemployment Compensation Act of 2002 and for a Transition Period for Individuals Receiving Compensation when the Program under such Acts Ends,Passed,218,4,0,6,197,0,0,7,1,0,0,0,416,4,0,13
8,R,108,H RES 15,8-Jan-2003,2:47 PM,On Ordering the Previous Question,"Providing for consideration of H.J. Res. 1 and H.J. Res. 2, joint resolutions making further continuing appropriations for FY 2003",Passed,223,0,0,5,2,197,0,5,0,1,0,0,225,198,0,10
9,R,108,ADJOURN,8-Jan-2003,7:12 PM,On Motion to Adjourn,None,Failed,0,219,0,9,94,96,0,14,1,0,0,0,95,315,0,23
10,R,108,H J RES 1,8-Jan-2003,8:45 PM,Table the appeal of the ruling of the Chair,"Making further continuing appropriations for the fiscal year 2003, and for other purposes",Passed,217,1,0,10,0,190,0,14,0,1,0,0,217,192,0,24
11,R,108,H J RES 1,8-Jan-2003,9:12 PM,On Motion to Recommit with Instructions,"Making further continuing appropriations for the fiscal year 2003, and for other purposes",Failed,0,219,0,9,191,1,0,12,1,0,0,0,192,220,0,21
12,R,108,H RES 10,8-Jan-2003,9:19 PM,On Motion to Suspend the Rules and Agree,Congratulating the Ohio State University football team for winning the 2002 NCAA Division I-A collegiate football national championship.,Passed,215,1,0,12,189,0,3,12,0,0,1,0,404,1,4,24
13,R,108,H RES 26,27-Jan-2003,6:51 PM,"On Motion to Suspend the Rules and Agree, as Amended",Honoring the Contributions of Catholic Schools,Passed,206,0,0,22,185,0,0,20,1,0,0,0,392,0,0,42
14,R,108,H RES 25,27-Jan-2003,6:59 PM,On Motion to Suspend the Rules and Agree,Supporting Efforts to Promote Greater Awareness of the Need for Youth Mentors and Increased Involvement with Youth through Mentoring,Passed,205,0,0,23,187,0,0,18,1,0,0,0,393,0,0,41
15,R,108,H J RES 13,28-Jan-2003,1:51 PM,Table the Appeal of the Ruling of the Chair,Further Continuing Appropriations for FY 2003,Passed,221,0,0,7,1,195,0,9,0,1,0,0,222,196,0,16
16,R,108,H J RES 13,28-Jan-2003,2:16 PM,On Motion to Recommit with Instructions,Further Continuing Appropriations for FY 2003,Failed,0,221,0,7,200,1,0,4,1,0,0,0,201,222,0,11
17,R,108,H J RES 2,29-Jan-2003,1:24 PM,On Motion to Instruct Conferees,"Making Further Continuing Appropriations for the Fiscal Year 2003, and for other purposes",Failed,2,209,0,17,197,0,0,8,1,0,0,0,200,209,0,25
18,R,108,H J RES 18,5-Feb-2003,6:49 PM,On Motion to Recommit with Instructions,"Making further continuing appropriations for the fiscal year 2003, and for other purposes.",Failed,2,215,0,11,192,0,0,13,1,0,0,0,195,215,0,24
