Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,R,115,QUORUM,3-Jan-2017,12:35 PM,Call by States,None,Passed,0,0,241,0,0,0,193,1,0,0,0,0,0,0,434,1
2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,R,115,H RES 5,3-Jan-2017,3:04 PM,Table Motion to Refer,Adopting rules for the One Hundred Fifteenth Congress,Passed,228,0,0,12,0,184,0,9,0,0,0,0,228,184,0,21
4,R,115,H RES 5,3-Jan-2017,4:58 PM,On Ordering the Previous Question,Adopting rules for the One Hundred Fifteenth Congress,Passed,237,0,0,3,0,193,0,0,0,0,0,0,237,193,0,3
5,R,115,H RES 5,3-Jan-2017,5:16 PM,Motion to Commit,Adopting rules for the One Hundred Fifteenth Congress,Failed,0,236,0,4,193,0,0,0,0,0,0,0,193,236,0,4
6,R,115,H RES 5,3-Jan-2017,5:34 PM,On Agreeing to the Resolution,Adopting rules for the One Hundred Fifteenth Congress,Passed,234,3,0,3,0,190,0,3,0,0,0,0,234,193,0,6
7,R,115,H R 21,4-Jan-2017,4:38 PM,On Motion to Recommit with Instructions,Midnight Rules Relief Act of 2017,Failed,0,235,0,5,183,1,0,9,0,0,0,0,183,236,0,14
8,R,115,H R 21,4-Jan-2017,4:48 PM,On Passage,Midnight Rules Relief Act of 2017,Passed,234,0,0,6,4,184,0,5,0,0,0,0,238,184,0,11
9,R,115,H RES 22,5-Jan-2017,2:12 PM,On Ordering the Previous Question,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",Passed,234,1,0,5,1,187,0,5,0,0,0,0,235,188,0,10
10,R,115,H RES 22,5-Jan-2017,2:30 PM,On Agreeing to the Resolution,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",Passed,231,1,0,8,0,186,0,7,0,0,0,0,231,187,0,15
11,R,115,H RES 11,5-Jan-2017,7:05 PM,On Agreeing to the Resolution,"Objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes",Passed,233,4,0,3,109,76,4,4,0,0,0,0,342,80,4,7
12,R,115,H R 26,5-Jan-2017,7:14 PM,On Agreeing to the Amendment,None,Agreed to,234,0,0,6,1,185,0,7,0,0,0,0,235,185,0,13
13,R,115,H R 26,5-Jan-2017,7:18 PM,On Agreeing to the Amendment,None,Failed,5,229,0,6,188,1,0,4,0,0,0,0,193,230,0,10
14,R,115,H R 26,5-Jan-2017,7:21 PM,On Agreeing to the Amendment,None,Failed,2,232,0,6,188,1,0,4,0,0,0,0,190,233,0,10
15,R,115,H R 26,5-Jan-2017,7:25 PM,On Agreeing to the Amendment,None,Failed,0,231,0,9,186,1,0,6,0,0,0,0,186,232,0,15
16,R,115,H R 26,5-Jan-2017,7:28 PM,On Agreeing to the Amendment,None,Failed,3,231,0,6,189,0,0,4,0,0,0,0,192,231,0,10
17,R,115,H R 26,5-Jan-2017,7:32 PM,On Agreeing to the Amendment,None,Failed,0,234,0,6,190,0,0,3,0,0,0,0,190,234,0,9
18,R,115,H R 26,5-Jan-2017,7:36 PM,On Agreeing to the Amendment,None,Failed,5,230,0,5,189,1,0,3,0,0,0,0,194,231,0,8
19,R,115,H R 26,5-Jan-2017,7:40 PM,On Agreeing to the Amendment,None,Failed,0,235,0,5,190,0,0,3,0,0,0,0,190,235,0,8
20,R,115,H R 26,5-Jan-2017,7:44 PM,On Agreeing to the Amendment,None,Failed,3,232,0,5,190,0,0,3,0,0,0,0,193,232,0,8
21,R,115,H R 26,5-Jan-2017,7:48 PM,On Agreeing to the Amendment,None,Agreed to,230,4,0,6,0,189,0,4,0,0,0,0,230,193,0,10
22,R,115,H R 26,5-Jan-2017,8:05 PM,On Motion to Recommit with Instructions,Regulations from the Executive in Need of Scrutiny Act of 2017,Failed,0,235,0,5,190,0,0,3,0,0,0,0,190,235,0,8
23,R,115,H R 26,5-Jan-2017,8:11 PM,On Passage,Regulations from the Executive in Need of Scrutiny Act of 2017,Passed,235,0,0,5,2,187,0,4,0,0,0,0,237,187,0,9
24,R,115,H R 315,9-Jan-2017,6:53 PM,On Motion to Suspend the Rules and Pass,Improving Access to Maternity Care Act,Passed,227,0,0,13,178,0,0,15,0,0,0,0,405,0,0,28
25,R,115,H R 304,9-Jan-2017,7:03 PM,On Motion to Suspend the Rules and Pass,Protecting Patient Access to Emergency Medications Act of 2017,Passed,225,0,0,15,179,0,0,14,0,0,0,0,404,0,0,29
26,R,115,H RES 33,10-Jan-2017,1:46 PM,On Ordering the Previous Question,Providing for consideration of the bill (H.R. 5) Regulatory Accountability Act of 2017 and providing for consideration of the bill (H.R. 79) to clarify the definition of general solicitation under Federal securities law,Passed,233,0,0,7,1,179,0,14,0,0,0,0,234,179,0,21
27,R,115,H RES 33,10-Jan-2017,1:57 PM,On Agreeing to the Resolution,Providing for consideration of the bill (H.R. 5) Regulatory Accountability Act of 2017 and providing for consideration of the bill (H.R. 79) to clarify the definition of general solicitation under Federal securities law,Passed,233,0,0,7,0,183,0,11,0,0,0,0,233,183,0,18
28,R,115,JOURNAL,10-Jan-2017,2:05 PM,On Approving the Journal,None,Passed,155,77,1,7,93,85,2,14,0,0,0,0,248,162,3,21
29,R,115,H R 79,10-Jan-2017,5:42 PM,On Agreeing to the Amendment,None,Failed,1,234,0,5,166,15,0,13,0,0,0,0,167,249,0,18
30,R,115,H R 79,10-Jan-2017,5:47 PM,On Agreeing to the Amendment,None,Failed,0,236,0,4,163,17,0,14,0,0,0,0,163,253,0,18
31,R,115,H R 79,10-Jan-2017,5:57 PM,On Passage,Helping Angels Lead Our Startups (HALOS) Act,Passed,236,0,0,4,108,73,0,13,0,0,0,0,344,73,0,17
32,R,115,H RES 40,11-Jan-2017,1:32 PM,On Ordering the Previous Question,"Providing for consideration of H.R. 78, the SEC Regulatory Accountability Act; H.R. 238, the Commodity End-User Relief Act; and for other purposes",Passed,232,0,0,8,0,168,0,26,0,0,0,0,232,168,0,34
33,R,115,H RES 40,11-Jan-2017,1:39 PM,On Agreeing to the Resolution,"Providing for consideration of H.R. 78, the SEC Regulatory Accountability Act; H.R. 238, the Commodity End-User Relief Act; and for other purposes",Passed,232,1,0,7,1,169,0,24,0,0,0,0,233,170,0,31
34,R,115,H R 39,11-Jan-2017,1:46 PM,On Motion to Suspend the Rules and Pass,Tested Ability to Leverage Exceptional National Talent Act,Passed,217,17,0,6,169,0,0,25,0,0,0,0,386,17,0,31
35,R,115,H R 5,11-Jan-2017,5:49 PM,On Agreeing to the Amendment,None,Agreed to,234,0,0,6,3,185,0,6,0,0,0,0,237,185,0,12
36,R,115,H R 5,11-Jan-2017,5:55 PM,On Agreeing to the Amendment,None,Agreed to,226,7,0,7,34,154,0,6,0,0,0,0,260,161,0,13
37,R,115,H R 5,11-Jan-2017,5:59 PM,On Agreeing to the Amendment,None,Failed,2,229,0,9,187,2,0,5,0,0,0,0,189,231,0,14
38,R,115,H R 5,11-Jan-2017,6:02 PM,On Agreeing to the Amendment,None,Failed,1,232,0,7,189,0,0,5,0,0,0,0,190,232,0,12
39,R,115,H R 5,11-Jan-2017,6:06 PM,On Agreeing to the Amendment,None,Failed,0,233,0,7,188,1,0,5,0,0,0,0,188,234,0,12
40,R,115,H R 5,11-Jan-2017,6:11 PM,On Agreeing to the Amendment,None,Failed,2,232,0,6,188,1,0,5,0,0,0,0,190,233,0,11
41,R,115,H R 5,11-Jan-2017,6:16 PM,On Agreeing to the Amendment,None,Failed,7,226,0,7,188,1,0,5,0,0,0,0,195,227,0,12
