Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,111,2,PN635,"January 20, 2010,  12:01 PM",On the Nomination PN635,"Confirmation Beverly Baldwin Martin, of Georgia, to be U.S. Circuit Judge","Beverly Baldwin Martin, of Georgia, to be United States Circuit Judge for the Eleventh Circuit",Nomination Confirmed (97-0),'1/2',38,0,0,2,57,0,0,1,2,0,0,0,97,0,0,3,
2,111,2,,"January 21, 2010,  03:16 PM",On the Amendment S.Amdt. 3301 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file),Thune Amdt. No. 3301,"To terminate authority under the Troubled Asset Relief Program, and for other purposes.","Amendment Rejected (53-45, 3/5 majority required)",'3/5',40,0,0,0,13,43,0,2,0,2,0,0,53,45,0,2,
3,111,2,PN1077,"January 25, 2010,  06:06 PM",On the Nomination PN1077,"Confirmation Rosanna Malouf Peterson, of Washington, to be U.S. District Judge","Rosanna Malouf Peterson, of Washington, to be United States District Judge for the Eastern District of Washington",Nomination Confirmed (89-0),'1/2',33,0,0,7,54,0,0,4,2,0,0,0,89,0,0,11,
4,111,2,,"January 26, 2010,  11:30 AM",On the Amendment S.Amdt. 3300 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file),Baucus Amdt. No. 3300 as Modified,To protect Social Security.,"Amendment Agreed to (97-0, 3/5 majority required)",'3/5',39,0,0,1,56,0,0,2,2,0,0,0,97,0,0,3,
5,111,2,,"January 26, 2010,  12:00 PM",On the Amendment S.Amdt. 3302 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file),Conrad Amdt. No. 3302,"To establish a Bipartisan Task Force for Responsible Fiscal Action, to assure the long-term fiscal stability and economic security of the Federal Government of the United States, and to expand future prosperity and growth for all Americans.","Amendment Rejected (53-46, 3/5 majority required)",'3/5',16,23,0,1,36,22,0,0,1,1,0,0,53,46,0,1,
6,111,2,,"January 26, 2010,  07:22 PM",On the Amendment S.Amdt. 3303 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file),"Coburn Amdt. No. 3303, Division I","To rescind $120 billion in Federal spending by consolidating duplicative government programs, cutting wasteful Washington spending, and returning billions of dollars of unspent money.","Amendment Agreed to (94-0, 3/5 majority required)",'3/5',38,0,0,2,54,0,0,4,2,0,0,0,94,0,0,6,
7,111,2,,"January 26, 2010,  07:50 PM",On the Amendment S.Amdt. 3303 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file),"Coburn Amdt. No. 3303, Division II","To rescind $120 billion in Federal spending by consolidating duplicative government programs, cutting wasteful Washington spending, and returning billions of dollars of unspent money.","Amendment Rejected (46-48, 3/5 majority required)",'3/5',37,1,0,2,9,45,0,4,0,2,0,0,46,48,0,6,
8,111,2,,"January 26, 2010,  08:12 PM",On the Amendment S.Amdt. 3303 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file),"Coburn Amdt. No. 3303, Division III","To rescind $120 billion in Federal spending by consolidating duplicative government programs, cutting wasteful Washington spending, and returning billions of dollars of unspent money.","Amendment Rejected (33-61, 3/5 majority required)",'3/5',31,7,0,2,2,52,0,4,0,2,0,0,33,61,0,6,
9,111,2,,"January 26, 2010,  08:31 PM",On the Amendment S.Amdt. 3303 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file),"Coburn Amdt. No. 3303, Division IV","To rescind $120 billion in Federal spending by consolidating duplicative government programs, cutting wasteful Washington spending, and returning billions of dollars of unspent money.","Amendment Rejected (37-57, 3/5 majority required)",'3/5',35,3,0,2,2,52,0,4,0,2,0,0,37,57,0,6,
10,111,2,,"January 28, 2010,  10:44 AM",On the Amendment S.Amdt. 3309 to S.Amdt. 3299 to H.J.Res. 45 (No short title on file),Brownback Amdt. No. 3309,To establish a Commission on Congressional Budgetary Accountability and Review of Federal Agencies.,"Amendment Rejected (51-49, 3/5 majority required)",'3/5',37,3,0,0,13,45,0,0,1,1,0,0,51,49,0,0,
