Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,116,2,PN1039,"January 6, 2020,  05:30 PM",On the Cloture Motion PN1039,"Motion to Invoke Cloture on Jovita Carranza, of Illinois, to be Administrator of the Small Business Administration","Jovita Carranza, of Illinois, to be Administrator of the Small Business Administration",Cloture Motion Agreed to (86-5),'1/2',50,0,0,3,35,5,0,5,1,0,0,1,86,5,0,9,
2,116,2,PN1039,"January 7, 2020,  12:16 PM",On the Nomination PN1039,"Confirmation: Jovita Carranza, of Illinois, to be Administrator of the Small Business Administration","Jovita Carranza, of Illinois, to be Administrator of the Small Business Administration",Nomination Confirmed (88-5),'1/2',51,0,0,2,36,5,0,4,1,0,0,1,88,5,0,7,
3,116,2,PN455,"January 8, 2020,  11:01 AM",On the Cloture Motion PN455,Motion to Invoke Cloture: Matthew H. Solomsom to be a Judge for the U.S. Court of Federal Claims,"Matthew H. Solomson, of Maryland, to be a Judge of the United States Court of Federal Claims for a term of fifteen years",Cloture Motion Agreed to (88-7),'1/2',51,0,0,2,36,7,0,2,1,0,0,1,88,7,0,5,
4,116,2,PN897,"January 8, 2020,  11:33 AM",On the Cloture Motion PN897,Motion to Invoke Cloture: Eleni Maria Roumel to be a Judge of the U.S. Court of Federal Claims,"Eleni Maria Roumel, of Maryland, to be a Judge of the United States Court of Federal Claims for a term of fifteen years",Cloture Motion Agreed to (51-44),'1/2',51,0,0,2,0,43,0,2,0,1,0,1,51,44,0,5,
5,116,2,PN966,"January 8, 2020,  11:56 AM",On the Cloture Motion PN966,Motion to Invoke Cloture: Michael George DeSombre to be Ambassador of the United States to the Kingdom of Thailand,"Michael George DeSombre, of Illinois, to be Ambassador to the Kingdom of Thailand",Cloture Motion Agreed to (64-31),'1/2',51,0,0,2,13,30,0,2,0,1,0,1,64,31,0,5,
6,116,2,PN455,"January 8, 2020,  05:00 PM",On the Nomination PN455,"Confirmation: Matthew H. Solomson, of Maryland, to be a Judge of the U.S. Court of Federal Claims","Matthew H. Solomson, of Maryland, to be a Judge of the United States Court of Federal Claims for a term of fifteen years",Nomination Confirmed (89-8),'1/2',51,0,0,2,37,7,0,1,1,1,0,0,89,8,0,3,
7,116,2,PN897,"January 8, 2020,  05:37 PM",On the Nomination PN897,"Confirmation: Eleni Maria Roumel, of Maryland, to be a Judge for the U.S. Court of Federal Claims","Eleni Maria Roumel, of Maryland, to be a Judge of the United States Court of Federal Claims for a term of fifteen years",Nomination Confirmed (51-47),'1/2',51,0,0,2,0,45,0,0,0,2,0,0,51,47,0,2,
8,116,2,PN966,"January 8, 2020,  05:53 PM",On the Nomination PN966,"Confirmation: Michael George DeSombre, of Illinois, to be Ambassador of the United States of America to the Kingdom of Thailand","Michael George DeSombre, of Illinois, to be Ambassador to the Kingdom of Thailand",Nomination Confirmed (91-7),'1/2',51,0,0,2,39,6,0,0,1,1,0,0,91,7,0,2,
9,116,2,PN1166,"January 9, 2020,  11:04 AM",On the Cloture Motion PN1166,"Motion to Invoke Cloture: Paul J. Ray to be Administrator of the Office of Information and Regulatory Affairs, Office of Management and Budget","Paul J. Ray, of Tennessee, to be Administrator of the Office of Information and Regulatory Affairs, Office of Management and Budget",Cloture Motion Agreed to (50-45),'1/2',50,0,0,3,0,43,0,2,0,2,0,0,50,45,0,5,
10,116,2,PN1166,"January 9, 2020,  01:38 PM",On the Nomination PN1166,"Confirmation: Paul J. Ray, of Tennessee, to be Administrator of the Office of Information and Regulatory Affairs, Office of Management and Budget","Paul J. Ray, of Tennessee, to be Administrator of the Office of Information and Regulatory Affairs, Office of Management and Budget",Nomination Confirmed (50-44),'1/2',50,0,0,3,0,43,0,2,0,1,0,1,50,44,0,6,
11,116,2,PN1165,"January 13, 2020,  05:31 PM",On the Cloture Motion PN1165,"Motion to Invoke Cloture: Peter Gaynor to be Administrator of the Federal Emergency Management Agency, Department of Homeland Security","Peter Gaynor, of Rhode Island, to be Administrator of the Federal Emergency Management Agency, Department of Homeland Security",Cloture Motion Agreed to (76-8),'1/2',45,0,0,8,30,8,0,7,1,0,0,1,76,8,0,16,
12,116,2,PN1165,"January 14, 2020,  11:31 AM",On the Nomination PN1165,"Confirmation: Peter Gaynor, of Rhode Island, to be Administrator of the Federal Emergency Management Agency, Department of Homeland Security","Peter Gaynor, of Rhode Island, to be Administrator of the Federal Emergency Management Agency, Department of Homeland Security",Nomination Confirmed (81-8),'1/2',48,0,0,5,32,8,0,5,1,0,0,1,81,8,0,11,
13,116,2,H.R. 5430,"January 16, 2020,  11:00 AM",On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: H.R. 5430),Motion to Waive All Applicable Budgetary Discipline Re: H.R. 5430,"A bill to implement the Agreement between the United States of America, the United Mexican States, and Canada attached as an Annex to the Protocol Replacing the North American Free Trade Agreement.","Motion Agreed to (78-21, 3/5 majority required)",'3/5',31,21,0,1,45,0,0,0,2,0,0,0,78,21,0,1,
14,116,2,H.R. 5430,"January 16, 2020,  11:34 AM",On Passage of the Bill H.R. 5430,H.R. 5430,"A bill to implement the Agreement between the United States of America, the United Mexican States, and Canada attached as an Annex to the Protocol Replacing the North American Free Trade Agreement.",Bill Passed (89-10),'1/2',51,1,0,1,37,8,0,0,1,1,0,0,89,10,0,1,
15,116,2,,"January 21, 2020,  04:33 PM",On the Motion to Table S.Amdt. 1284 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No. 1284,To subpoena certain White House documents and records.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
16,116,2,,"January 21, 2020,  06:25 PM",On the Motion to Table S.Amdt. 1285 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No. 1285,To subpoena certain Department of State documents and records.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
17,116,2,,"January 21, 2020,  07:24 PM",On the Motion to Table S.Amdt. 1286 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No. 1286,To subpoena certain Office of Management and Budget documents and records.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
18,116,2,,"January 21, 2020,  09:21 PM",On the Motion to Table S.Amdt. 1287 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No.1287,"To subpoena John Michael ""Mick"" Mulvaney.",Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
19,116,2,,"January 21, 2020,  10:22 PM",On the Motion to Table S.Amdt. 1288 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No. 1288,To subpoena certain Department of Defense documents and records.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
20,116,2,,"January 21, 2020,  11:12 PM",On the Motion to Table S.Amdt. 1289 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No. 1289,To subpoena Robert B. Blair and Michael P. Duffey.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
21,116,2,,"January 21, 2020,  11:55 PM",On the Motion to Table S.Amdt. 1290 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No. 1290,To prevent the selective admission of evidence and to provide for appropriate handling of classified and confidential materials.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
22,116,2,,"January 22, 2020,  12:56 AM",On the Motion to Table S.Amdt. 1291 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No. 1291,To subpoena John Robert Bolton.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
23,116,2,,"January 22, 2020,  01:13 AM",On the Motion to Table S.Amdt. 1292 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No. 1292,To provide that motions to subpoena witnesses or documents shall be in order after the question period.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
24,116,2,,"January 22, 2020,  01:21 AM",On the Motion to Table S.Amdt. 1293 to S.Res. 483 (No short title on file),Motion to Table Schumer Amdt. No. 1293,To allow additional time to file responses to motions.,Motion to Table Agreed to (52-48),'1/2',52,1,0,0,0,45,0,0,0,2,0,0,52,48,0,0,
25,116,2,,"January 22, 2020,  01:35 AM",On the Motion to Table S.Amdt. 1294 to S.Res. 483 (No short title on file),Motion to Table Schumer for Van Hollen Amdt. No. 1294,To help ensure impartial justice by requiring the Chief Justice of the United States to rule on motions to subpoena witnesses and documents.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
26,116,2,S.Res. 483,"January 22, 2020,  01:41 AM",On the Resolution S.Res. 483,S. Res. 483,"A resolution to provide for related procedures concerning the articles of impeachment against Donald John Trump, President of the United States.",Resolution Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
28,116,2,,"January 31, 2020,  07:17 PM",On the Motion to Table S.Amdt. 1295 to S.Res. 488 (No short title on file),Motion to Table Schumer Amdt. No. 1295,To subpoena certain relevant witnesses and documents.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
29,116,2,,"January 31, 2020,  07:26 PM",On the Motion to Table S.Amdt. 1296 to S.Res. 488 (No short title on file),Motion to Table Schumer Amdt. No. 1296,To subpoena John Robert Bolton.,Motion to Table Agreed to (51-49),'1/2',51,2,0,0,0,45,0,0,0,2,0,0,51,49,0,0,
30,116,2,,"January 31, 2020,  07:33 PM",On the Motion to Table S.Amdt. 1297 to S.Res. 488 (No short title on file),Motion to Table Schumer Amdt. No. 1297,To subpoena John Robert Bolton.,Motion to Table Agreed to (51-49),'1/2',51,2,0,0,0,45,0,0,0,2,0,0,51,49,0,0,
31,116,2,,"January 31, 2020,  07:42 PM",On the Motion to Table S.Amdt. 1298 to S.Res. 488 (No short title on file),Motion to Table Van Hollen Amdt. No. 1298,To help ensure impartial justice by requiring the Chief Justice of the United States to rule on motions to subpoena witnesses and documents and issues of privilege.,Motion to Table Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
32,116,2,S.Res. 488,"January 31, 2020,  07:49 PM",On the Resolution S.Res. 488,S. Res. 488,"A resolution to provide for related procedures concerning the articles of impeachment against Donald John Trump, President of the United States.",Resolution Agreed to (53-47),'1/2',53,0,0,0,0,45,0,0,0,2,0,0,53,47,0,0,
33,116,2,H.Res. 755,"February 5, 2020,  04:09 PM",Guilty or Not Guilty H.Res. 755,"Article I, Articles of Impeachment Against President Donald John Trump","A resolution impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.","Not Guilty (48-52, 2/3 majority required)",'2/3',1,52,0,0,45,0,0,0,2,0,0,0,48,52,0,0,
34,116,2,H.Res. 755,"February 5, 2020,  04:24 PM",Guilty or Not Guilty H.Res. 755,"Article II, Articles of Impeachment Against President Donald John Trump","A resolution impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.","Not Guilty (47-53, 2/3 majority required)",'2/3',0,53,0,0,45,0,0,0,2,0,0,0,47,53,0,0,
