Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,D,101,QUORUM 1,23-Jan-1990,12:31 PM,Call of the House,None,Passed,0,0,151,24,0,0,225,30,0,0,0,0,0,0,376,54
2,D,101,MOTION,24-Jan-1990,2:25 PM,On Approving the Journal,None,Passed,78,87,2,8,234,2,1,19,0,0,0,0,312,89,3,27
3,D,101,H R 2712,24-Jan-1990,4:05 PM,REFER BILL AND VETO JOINTLY TO FOREIGN AFFAIRS AND JUD.,WITH INSTRUCTIONS CHINESE ADJUSTMENT OF STATUS FACILITATION ACT,Failed,137,32,0,6,0,244,0,12,0,0,0,0,137,276,0,18
4,D,101,H R 2712,24-Jan-1990,5:24 PM,ON PRESIDENTIAL VETO,CHINESE ADJUSTMENT OF STATUS FACILITATION ACT,Passed,145,25,0,5,245,0,0,11,0,0,0,0,390,25,0,16
5,D,101,MOTION,31-Jan-1990,12:21 PM,On Approving the Journal,None,Passed,75,94,0,6,226,6,1,23,0,0,0,0,301,100,1,29
6,D,101,H RES 309,31-Jan-1990,2:24 PM,On Agreeing to the Resolution,"PROVIDING FOR THE CONSIDERATION OF H.R. 2190, NATIONAL VOTER REGISTRATION ACT OF 1989",Passed,6,166,0,3,248,0,0,8,0,0,0,0,254,166,0,11
7,D,101,H R 2061,6-Feb-1990,2:39 PM,On Motion to Suspend the Rules and Pass,MAGNUSON FISHERIES CONSERVATION AND MANAGEMENT ACT,Passed,151,17,0,7,245,4,0,7,0,0,0,0,396,21,0,14
8,D,101,H CON RES 254,6-Feb-1990,2:50 PM,SUSPEND THE RULES AND AGREE,EXPRESSING THE SENSE OF CONGRESS CONCERNING NEGOTIATIONS FOR A POLITICAL SETTLEMENT IN CAMBODIA,Passed,168,0,0,7,245,0,0,11,0,0,0,0,413,0,0,18
9,D,101,H R 2190,6-Feb-1990,5:28 PM,ON AGREEING TO THE AMENDMENTS,None,Failed,128,41,0,6,1,250,0,5,0,0,0,0,129,291,0,11
10,D,101,H R 2190,6-Feb-1990,5:59 PM,On Motion to Recommit with Instructions,NATIONAL VOTER REGISTRATION ACT OF 1989,Failed,155,14,0,6,1,251,0,4,0,0,0,0,156,265,0,10
