Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,113,2,PN921,"January 6, 2014,  05:30 PM",On the Nomination PN921,"Confirmation Janet L. Yellen, to be Chairman of the Board of Governors of the Federal Reserve System","Janet L. Yellen, of California, to be Chairman of the Board of Governors of the Federal Reserve System for a term of four years",Nomination Confirmed (56-26),'1/2',11,26,0,8,45,0,0,8,0,0,0,2,56,26,0,18,
2,113,2,S. 1845,"January 7, 2014,  10:44 AM",On Cloture on the Motion to Proceed S. 1845,Motion to Invoke Cloture on the Motion to Proceed to S. 1845,"A bill to provide for the extension of certain unemployment benefits, and for other purposes.","Cloture on the Motion to Proceed Agreed to (60-37, 3/5 majority required)",'3/5',6,37,0,2,52,0,0,1,2,0,0,0,60,37,0,3,
3,113,2,S. 1845,"January 9, 2014,  04:18 PM",On the Motion to Table S. 1845,Motion to Table the Motion to Commit S.1845 to the Committee on Finance,"A bill to provide for the extension of certain unemployment benefits, and for other purposes.",Motion to Table Failed (42-54),'1/2',41,1,0,3,1,51,0,1,0,2,0,0,42,54,0,4,
4,113,2,PN529,"January 9, 2014,  04:42 PM",On the Motion to Proceed PN529,"Motion to Proceed to the Motion to Reconsider the Motion to Invoke Cloture on the Nomination of Robert Wilkins, to be U.S. Circuit Judge","Robert Leon Wilkins, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit",Motion to Proceed Agreed to (53-41),'1/2',0,41,0,4,51,0,0,2,2,0,0,0,53,41,0,6,
5,113,2,PN529,"January 9, 2014,  05:04 PM",On the Motion to Reconsider PN529,"Motion to Reconsider the Motion to Invoke Cloture on the Nomination of Robert Wilkins, to be U.S. Circuit Judge","Robert Leon Wilkins, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit",Motion to Reconsider Agreed to (54-40),'1/2',1,40,0,4,51,0,0,2,2,0,0,0,54,40,0,6,
6,113,2,PN529,"January 9, 2014,  05:21 PM",On the Cloture Motion PN529,Upon Reconsideration Motion to Invoke Cloture on the Nomination of Robert Wilkins to be U.S. Circuit Judge for the D.C. Circuit,"Robert Leon Wilkins, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit",Cloture Motion Agreed to (55-38),'1/2',2,38,0,5,51,0,0,2,2,0,0,0,55,38,1,6,
7,113,2,PN529,"January 13, 2014,  05:31 PM",On the Nomination PN529,"Confirmation Robert Leon Wilkins, of D.C., to be U.S. Circuit Judge for the D.C. Circuit","Robert Leon Wilkins, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit",Nomination Confirmed (55-43),'1/2',0,43,0,2,53,0,0,0,2,0,0,0,55,43,0,2,
8,113,2,S. 1845,"January 14, 2014,  03:22 PM",On the Motion to Table S. 1845,Motion to Table the Motion to Commit S. 1845 to the Committee on Finance with Instructions,"A bill to provide for the extension of certain unemployment benefits, and for other purposes.",Motion to Table Failed (45-55),'1/2',45,0,0,0,0,53,0,0,0,2,0,0,45,55,0,0,
9,113,2,,"January 14, 2014,  03:46 PM",On the Cloture Motion S.Amdt. 2631 to S. 1845 (Emergency Unemployment Compensation Extension Act),Motion to Invoke Cloture on Amdt. No. 2631 to S. 1845,Relating to extension and modification of emergency unemployment compensation program.,"Cloture Motion Rejected (52-48, 3/5 majority required)",'3/5',0,45,0,0,50,3,0,0,2,0,0,0,52,48,0,0,
10,113,2,S. 1845,"January 14, 2014,  04:05 PM",On the Cloture Motion S. 1845,Motion to Invoke Cloture on S. 1845,"A bill to provide for the extension of certain unemployment benefits, and for other purposes.","Cloture Motion Rejected (55-45, 3/5 majority required)",'3/5',1,44,0,0,52,1,0,0,2,0,0,0,55,45,0,0,
11,113,2,H.J.Res. 106,"January 15, 2014,  12:17 PM",On the Joint Resolution H.J.Res. 106,H.J.Res. 106,"A joint resolution making further continuing appropriations for fiscal year 2014, and for other purposes.",Joint Resolution Passed (86-14),'1/2',31,14,0,0,53,0,0,0,2,0,0,0,86,14,0,0,
12,113,2,H.R. 3547,"January 16, 2014,  05:27 PM",On the Cloture Motion H.R. 3547,Motion to Invoke Cloture on the Motion to Concur in the House Amendment to Senate Amendment to H.R. 3547,"Making consolidated appropriations for the fiscal year ending September 30, 2014, and for other purposes.","Cloture Motion Agreed to (72-26, 3/5 majority required)",'3/5',17,26,0,2,53,0,0,0,2,0,0,0,72,26,0,2,
13,113,2,H.R. 3547,"January 16, 2014,  05:54 PM",On the Motion (Motion to Concur in the House Amendment to the Senate Amendment to H.R. 3547),Motion to Concur in the House Amendment to the Senate Amendment to H.R. 3547,"Making consolidated appropriations for the fiscal year ending September 30, 2014, and for other purposes.",Motion Agreed to (72-26),'1/2',17,26,0,2,53,0,0,0,2,0,0,0,72,26,0,2,
14,113,2,S. 1926,"January 27, 2014,  05:39 PM",On Cloture on the Motion to Proceed S. 1926,Motion to Invoke Cloture on the Motion to Proceed to S.1926,"A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and to reform the National Association of Registered Agents and Brokers, and for other purposes.","Cloture on the Motion to Proceed Agreed to (86-13, 3/5 majority required)",'3/5',32,13,0,0,52,0,0,1,2,0,0,0,86,13,0,1,
15,113,2,S. 1926,"January 29, 2014,  04:46 PM",On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: S. 1926),Motion to Waive All Applicable Budgetary Discipline Re: S. 1926,"A bill to delay the implementation of certain provisions of the Biggert-Waters Flood Insurance Reform Act of 2012 and to reform the National Association of Registered Agents and Brokers, and for other purposes.","Motion Agreed to (64-35, 3/5 majority required)",'3/5',9,35,0,1,53,0,0,0,2,0,0,0,64,35,0,1,
16,113,2,,"January 30, 2014,  11:19 AM",On the Amendment S.Amdt. 2707 to S. 1926 (No short title on file),Toomey Amdt. No. 2707 As Modified,To adjust phase-ins of flood insurance rate increases.,Amendment Rejected (34-65),'1/2',34,11,0,0,0,52,0,1,0,2,0,0,34,65,0,1,
